순위,시도명,관광지명,주소,중분류,소분류
1,경기도,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰
2,경기도,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰
3,경기도,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰
4,경기도,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰
5,경기도,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점
6,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원
7,경기도,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰
8,강원특별자치도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장
9,경기도,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰
10,서울특별시,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점
11,경기도,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰
12,인천광역시,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰
13,서울특별시,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점
14,경기도,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰
15,서울특별시,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰
16,경기도,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰
17,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장
18,경기도,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰
19,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설
20,부산광역시,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점
21,경기도,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰
22,부산광역시,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰
23,경기도,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,쇼핑,백화점
24,인천광역시,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양)
25,서울특별시,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장
26,대전광역시,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑,쇼핑몰
27,인천광역시,월미도,인천 중구,자연관광,자연경관(하천/해양)
28,서울특별시,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원
29,경기도,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광
30,대구광역시,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점
31,서울특별시,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰
32,경기도,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점
33,서울특별시,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰
34,서울특별시,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점
35,경상남도,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰
36,서울특별시,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점
37,인천광역시,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점
38,서울특별시,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점
39,충청남도,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양)
40,경기도,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장
41,부산광역시,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점
42,경기도,롯데프리미엄아울렛타임빌라스,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰
43,서울특별시,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점
44,제주특별자치도,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장
45,경기도,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점
46,서울특별시,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰
47,전북특별자치도,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지
48,경기도,스타필드시티부천,경기 부천시 옥길로 1-0,쇼핑,쇼핑몰
49,서울특별시,신세계백화점본점신관,서울 중구 퇴계로 77-0,쇼핑,백화점
50,부산광역시,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑,쇼핑몰
51,서울특별시,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점
52,강원특별자치도,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양)
53,경기도,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑,쇼핑몰
54,제주특별자치도,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장
55,경기도,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점
56,경기도,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원
57,경기도,궁평항,경기 화성시 궁평항로 1049-24,자연관광,자연경관(하천/해양)
58,인천광역시,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장
59,인천광역시,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양)
60,충청남도,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설
61,경기도,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점
62,경기도,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원
63,대전광역시,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,쇼핑,백화점
64,부산광역시,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양)
65,서울특별시,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰
66,강원특별자치도,경포해변,강원 강릉시,자연관광,자연경관(하천/해양)
67,인천광역시,소래포구,인천 남동구 포구로 2-9,자연관광,자연경관(하천/해양)
68,경기도,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점
69,경기도,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광
70,서울특별시,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원
71,경기도,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰
72,인천광역시,인천종합어시장,인천 중구 연안부두로33번길 37-0,쇼핑,시장
73,경기도,마장호수출렁다리,경기 파주시,기타관광,기타관광
74,서울특별시,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설
75,경기도,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설
76,경기도,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원
77,경기도,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점
78,서울특별시,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원
79,서울특별시,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장
80,경상북도,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장
81,경상북도,불국사,경북 경주시 불국로 385-0,역사관광,종교성지
82,부산광역시,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양)
83,인천광역시,스퀘어원,인천 연수구 청능대로 210-0,쇼핑,쇼핑몰
84,인천광역시,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원
85,강원특별자치도,주문진항,강원 강릉시 해안로 1758-14,자연관광,자연경관(하천/해양)
86,대전광역시,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,쇼핑,백화점
87,서울특별시,HDC아이파크몰,서울 용산구 한강대로23길 55-0,쇼핑,백화점
88,경상북도,황리단길,경북 경주시,음식,음식점기타
89,경기도,두물머리,경기 양평군,기타관광,기타관광
90,경기도,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰
91,서울특별시,롯데백화점노원점,서울 노원구 동일로 1414-0,쇼핑,백화점
92,강원특별자치도,쏠비치삼척,강원 삼척시 수로부인길 453-0,숙박,콘도미니엄
93,서울특별시,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원
94,부산광역시,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양)
95,서울특별시,그랜드워커힐서울,서울 광진구 워커힐로 177-0,숙박,호텔
96,제주특별자치도,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양)
97,제주특별자치도,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양)
98,경기도,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지
99,경기도,롯데백화점평촌점,경기 안양시 동안구 시민대로 180-0,쇼핑,백화점
100,경기도,롯데백화점수원점,경기 수원시 권선구 세화로 118-0,쇼핑,백화점
